公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,-17.62,11404254,-2.32,9617393,9394240,-2.32,9617393,9394240
1102,亞泥,-,20.71,6548928,16.77,6769986,7905737,16.77,6769986,7905737
1103,嘉泥,-,-24.64,234983,2.88,172094,177060,2.88,172094,177060
1104,環泥,-,3.01,465496,4.13,460482,479518,4.13,460482,479518
1108,幸福,-,17.71,300034,10.25,320340,353189,10.25,320340,353189
1109,信大,-,-5.51,707952,40.68,475455,668892,40.68,475455,668892
1110,東泥,-,1.44,183634,21.51,153308,186293,21.51,153308,186293
1201,味全,-,3.03,1536834,21.68,1301271,1583493,21.68,1301271,1583493
1203,味王,-,4.41,521085,9.33,497660,544108,9.33,497660,544108
1210,大成,-,13.2,6339590,7.86,6653413,7176513,7.86,6653413,7176513
1213,大飲,-,112.41,29860,-11.63,71779,63426,-11.63,71779,63426
1215,卜蜂,-,5.27,1791014,6.64,1767920,1885469,6.64,1767920,1885469
1216,統一,-,26.24,32590936,7.81,38161968,41144409,7.81,38161968,41144409
1217,愛之味,-,40.71,269710,1.54,373733,379511,1.54,373733,379511
1218,泰山,-,29.35,546161,2.72,687725,706484,2.72,687725,706484
1219,福壽,-,22.27,981256,18.96,1008526,1199814,18.96,1008526,1199814
1220,台榮,-,-3.25,270544,9.05,240011,261737,9.05,240011,261737
1225,福懋油,-,2.96,936366,-6.51,1031250,964100,-6.51,1031250,964100
1227,佳格,-,27.44,3422885,9.59,3980082,4362134,9.59,3980082,4362134
1229,聯華,-,9.16,451768,11.06,444041,493179,11.06,444041,493179
1231,聯華食,-,15.16,793204,13.25,806520,913458,13.25,806520,913458
1232,大統益,-,10.72,1463270,15.68,1400426,1620137,15.68,1400426,1620137
1233,天仁,-,15.96,195176,14.33,197963,226345,14.33,197963,226345
1234,黑松,-,112.84,464860,12.28,881127,989413,12.28,881127,989413
1235,興泰,-,-21.64,2236,-16.53,2099,1752,-16.53,2099,1752
1236,宏亞,-,27.73,255964,20.68,270908,326947,20.68,270908,326947
1702,南僑,-,-2.22,1757656,3.31,1663425,1718531,3.31,1663425,1718531
1737,臺鹽,-,5.43,260449,13.17,242652,274611,13.17,242652,274611
1301,台塑,-,7.54,18133624,1.79,19156751,19500909,1.79,19156751,19500909
1303,南亞,-,0.74,24809071,-14.28,29161203,24994873,-14.28,29161203,24994873
1304,台聚,-,0.71,4968846,-9.77,5546802,5004581,-9.77,5546802,5004581
1305,華夏,-,-6.18,1271926,-23.07,1551201,1193236,-23.07,1551201,1193236
1307,三芳,-,30.64,697071,16.39,782396,910675,16.39,782396,910675
1308,亞聚,-,-0.19,621374,41.37,438679,620182,41.37,438679,620182
1309,台達化,-,1.87,1714356,-9.83,1937171,1746564,-9.83,1937171,1746564
1310,台苯,-,3.41,1080996,-17.71,1358715,1117957,-17.71,1358715,1117957
1312,國喬,-,-2.47,1952956,-18.96,2350511,1904635,-18.96,2350511,1904635
1313,聯成,-,-6.48,6351502,9.71,5413681,5939881,9.71,5413681,5939881
1314,中石化,-,9.22,2350954,-21.97,3291109,2567786,-21.97,3291109,2567786
1315,達新,-,-10.83,215506,-7.36,207440,192157,-7.36,207440,192157
1321,大洋,-,-1.13,440513,-5.87,462727,435535,-5.87,462727,435535
1323,永裕,-,2.52,300208,7.7,285747,307775,7.7,285747,307775
1324,地球,-,7.02,92683,12.96,87808,99191,12.96,87808,99191
1325,恆大,-,-8.03,88639,0.48,81120,81517,0.48,81120,81517
1326,台化,-,-0.37,31908907,-5.98,33809637,31787788,-5.98,33809637,31787788
4306,炎洲,-,0.13,1498126,-10.6,1678052,1500134,-10.6,1678052,1500134
1402,遠東新,-,6.25,20191182,14.01,18817633,21454753,14.01,18817633,21454753
1409,新纖,-,4.55,3320620,12.29,3091730,3471998,12.29,3091730,3471998
1410,南染,-,8.34,34495,-15.23,44092,37375,-15.23,44092,37375
1413,宏洲,-,13.42,291434,-10.11,367772,330573,-10.11,367772,330573
1414,東和,-,17.58,57066,-5.33,70884,67103,-5.33,70884,67103
1417,嘉裕,-,7.74,146547,-10.08,175606,157899,-10.08,175606,157899
1418,東華,配合客戶生產線出貨,-32.47,17454,-69.22,38300,11785,-69.22,38300,11785
1419,新紡,-,-4.73,132139,15.04,109417,125881,15.04,109417,125881
1423,利華,-,12.2,37497,-44.47,75778,42073,-44.47,75778,42073
1434,福懋,-,9.51,3549899,8.76,3574397,3887745,8.76,3574397,3887745
1439,雋揚,-,84.5,12198,1.34,22207,22506,1.34,22207,22506
1440,南紡,-,7.64,1889883,-4.82,2137441,2034326,-4.82,2137441,2034326
1441,大東,-,4.85,141562,-6.85,159369,148439,-6.85,159369,148439
1444,力麗,-,7.1,1106677,12.2,1056385,1185284,12.2,1056385,1185284
1445,大宇,-,30.66,125528,16.59,140672,164017,16.59,140672,164017
1446,宏和,-,35.58,26594,-12.42,41171,36057,-12.42,41171,36057
1447,力鵬,-,25.54,1005482,-23.06,1640770,1262287,-23.06,1640770,1262287
1449,佳和,-,-16.31,238371,5.97,188226,199479,5.97,188226,199479
1451,年興,-,24.14,677992,40.41,599453,841714,40.41,599453,841714
1452,宏益,-,12.45,182425,4.48,196337,205151,4.48,196337,205151
1454,台富,-,17.43,145203,0.83,169094,170512,0.83,169094,170512
1455,集盛,-,9.43,1216679,-8.85,1460821,1331476,-8.85,1460821,1331476
1457,宜進,-,13.18,461474,-7.19,562837,522335,-7.19,562837,522335
1459,聯發,-,7.18,309895,-1.14,336009,332149,-1.14,336009,332149
1460,宏遠,-,-2.22,862494,-4.52,883213,843264,-4.52,883213,843264
1463,強盛,-,77.86,40106,-44.17,127782,71333,-44.17,127782,71333
1464,得力,-,-11.4,859215,10.1,691383,761248,10.1,691383,761248
1465,偉全,-,-33.97,154049,-26.84,139036,101708,-26.84,139036,101708
1466,聚隆,-,27.35,301226,34.55,285105,383622,34.55,285105,383622
1467,南緯,外銷客戶訂單交期在1月及大陸內銷開發有成，使本期營收增加52.82%,1.24,608847,52.81,403374,616427,52.81,403374,616427
1468,昶和,台灣及紹興銷售量均增加,32.3,77752,99.36,51600,102870,99.36,51600,102870
1470,大統新創,-,-5.8,65907,17.64,52771,62082,17.64,52771,62082
1472,三洋實業,1月業績較去年同期差異超過50%，主因為市場需求乏力,-22.47,25216,-73.7,74332,19548,-73.7,74332,19548
1473,台南,-,6.57,700515,-7.64,808378,746584,-7.64,808378,746584
1474,弘裕,-,6.15,291782,-9.63,342782,309742,-9.63,342782,309742
1475,業旺,-,26.68,4673,-8.81,6492,5920,-8.81,6492,5920
1476,儒鴻,-,-5.51,2556163,0.27,2408736,2415301,0.27,2408736,2415301
1477,聚陽,-,-4.42,2243315,35.91,1577461,2143944,35.91,1577461,2143944
4414,如興,-,-32.05,1592830,-4.66,1135198,1082296,-4.66,1135198,1082296
4426,利勤,-,103.36,126633,26.5,203563,257523,26.5,203563,257523
4438,廣越,主力客戶Patagonia、The North Face、Adidas、Arc'teryx、及新客戶UA、Mammut新產品出貨暢旺、及金漢自去年5月併入合併營收導致,3.01,867304,98.31,450512,893414,98.31,450512,893414
1503,士電,-,15.62,2295144,23.04,2156908,2653863,23.04,2156908,2653863
1504,東元,-,-11.23,4472265,-5.99,4222993,3969809,-5.99,4222993,3969809
1506,正道,-,7.22,87201,-18.68,114989,93504,-18.68,114989,93504
1513,中興電,本月合併營收較去年同期增加，主要係因設備投入工程增加 ，依工進完成收入認列致營收增加•,-8.92,1179603,55.29,691777,1074295,55.29,691777,1074295
1514,亞力,-,-34.13,505183,-8.28,362828,332758,-8.28,362828,332758
1515,力山,客戶銷售狀況好增加採購量,11.92,912695,157.34,396955,1021525,157.34,396955,1021525
1517,利奇,-,7.28,284685,12.6,271219,305412,12.6,271219,305412
1519,華城,-,-73.63,900515,-43.29,418601,237388,-43.29,418601,237388
1526,日馳,-,-25.72,121172,-10.34,100382,90001,-10.34,100382,90001
1527,鑽全,-,13.11,328175,0.29,370117,371214,0.29,370117,371214
1528,恩德,-,-11.04,381782,-0.53,341431,339618,-0.53,341431,339618
1529,樂事綠能,"因去年同期(1月),無太陽能電場之工程收入所致",-72.9,110873,555.89,4580,30040,555.89,4580,30040
1530,亞崴,-,-28.53,450244,-12.17,366386,321784,-12.17,366386,321784
1531,高林股,-,-13.17,265780,16.21,198562,230758,16.21,198562,230758
1532,勤美,-,-18.47,1476249,-7.23,1297418,1203550,-7.23,1297418,1203550
1535,中宇,-,-23.17,1309368,-1.06,1016759,1005894,-1.06,1016759,1005894
1537,廣隆,-,8.07,689073,2.5,726523,744711,2.5,726523,744711
1538,正峰,-,-20.16,38185,-34.6,46620,30485,-34.6,46620,30485
1539,巨庭,-,108.67,137510,-10.83,321833,286948,-10.83,321833,286948
1540,喬福,-,-23.08,66082,17.13,43395,50830,17.13,43395,50830
1541,錩泰,-,36.07,255028,21.03,286721,347031,21.03,286721,347031
1558,伸興,-,-12.43,470202,18.91,346240,411722,18.91,346240,411722
1560,中砂,-,8.49,407296,4.68,422122,441889,4.68,422122,441889
1583,程泰,-,-24.01,735109,-14.11,650360,558549,-14.11,650360,558549
1597,直得,-,-6.98,122864,-33.33,171408,114277,-33.33,171408,114277
2049,上銀,-,-4.77,1751055,-26.06,2255359,1667522,-26.06,2255359,1667522
2371,大同,主要係受中華映管(股)公司總體市況需求下滑，加上其申請重整影響所致，及綠能(股)公司申請債權債務協商減產所致。,-25.65,4119178,-50.75,6218889,3062480,-50.75,6218889,3062480
3167,大量,-,-20.11,240765,-47.2,364317,192327,-47.2,364317,192327
4526,東台,-,-32.95,1225103,0.48,817420,821410,0.48,817420,821410
4532,瑞智,-,-21.41,2343944,-11.24,2075590,1842090,-11.24,2075590,1842090
4540,全球傳動,-,-27.85,214061,-34.91,237300,154436,-34.91,237300,154436
4555,氣立,-,1.54,123745,-8.4,137191,125660,-8.4,137191,125660
4562,穎漢,-,-7.57,100531,-15.19,109567,92917,-15.19,109567,92917
4564,元翎,-,11.13,249495,29.95,213363,277282,29.95,213363,277282
4566,時碩工業,-,39.22,250972,2.92,339473,349406,2.92,339473,349406
4572,駐龍,-,19.19,66419,40.27,56440,79170,40.27,56440,79170
