公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1102,亞泥,6572799,6496635,6706168,1.17,-1.98,62010612,66945254,-7.37,-
1108,幸福,397720,417664,451146,-4.77,-11.84,3952710,4141653,-4.56,-
1109,信大,348562,317761,531941,9.69,-34.47,3880738,5157727,-24.75,-
1110,東泥,249922,289245,191120,-13.59,30.76,2322081,1832642,26.7,-
1213,大飲,18760,18428,403,1.8,4555.08,157692,110319,42.94,"本月積極推展業務,致使10月營收成長"
1215,卜蜂,2457728,2273593,2382360,8.09,3.16,23088790,24332804,-5.11,-
1218,泰山,833404,985528,893674,-15.43,-6.74,9111426,9479640,-3.88,-
1219,福壽,1233040,1171870,1280865,5.21,-3.73,11806192,13680823,-13.7,-
1220,台榮,356483,273209,289053,30.47,23.32,2771099,2643847,4.81,-
1225,福懋油,1079648,1030261,1212955,4.79,-10.99,10636924,12125626,-12.27,-
1229,聯華,832906,916900,1200893,-9.16,-30.64,10606944,10487622,1.13,-
1231,聯華食,1048386,920820,874442,13.85,19.89,9788406,8863900,10.43,-
1232,大統益,1858530,1742432,1922344,6.66,-3.31,18234878,19630101,-7.1,-
1233,天仁,161317,183712,175783,-12.19,-8.22,1812093,1746182,3.77,-
1234,黑松,750036,944042,960839,-20.55,-21.93,8725769,8924963,-2.23,-
1737,臺鹽,266245,284881,264995,-6.54,0.47,2722197,2910245,-6.46,-
3054,立萬利,3814,10983,3849,-65.27,-0.9,85681,28659,198.96,主係因本期產品結構改變致銷售金額增加。
1301,台塑,15738889,16641520,16306347,-5.42,-3.47,165448481,167702279,-1.34,-
1303,南亞,22758378,21428221,21722488,6.2,4.76,214217930,218485874,-1.95,-
1304,台聚,3957696,4138650,4296205,-4.37,-7.87,42345701,43733211,-3.17,-
1305,華夏,827346,921273,1046806,-10.19,-20.96,9370019,11532707,-18.75,-
1308,亞聚,465783,382991,538938,21.61,-13.57,4944196,5578499,-11.37,-
1309,台達化,1483350,1678546,1451953,-11.62,2.16,15402672,12597827,22.26,-
1310,台苯,770033,961410,891484,-19.9,-13.62,9462046,7836675,20.74,-
1313,聯成,5332007,5094421,6323633,4.66,-15.68,60564927,59831110,1.22,-
1314,中石化,2138574,2068523,2237466,3.38,-4.41,26148646,21277065,22.89,-
1321,大洋,430677,344278,321339,25.09,34.02,3898637,3929634,-0.78,-
1324,地球,69989,59058,90322,18.5,-22.51,657234,788562,-16.65,-
1325,恆大,25070,23142,30260,8.33,-17.15,269915,340187,-20.65,-
1326,台化,26730525,27508402,30166153,-2.82,-11.38,294046018,275187944,6.85,-
1409,新纖,3517087,3751001,3253929,-6.23,8.08,37519805,33011334,13.65,-
1410,南染,18282,20499,18540,-10.81,-1.39,193498,184553,4.84,-
1413,宏洲,180909,205423,222728,-11.93,-18.77,1928015,1673038,15.24,-
1414,東和,39202,37721,46067,3.92,-14.9,444468,467886,-5.0,-
1417,嘉裕,29892,32097,112364,-6.86,-73.39,515769,1229425,-58.04,因結束國軍服裝供售業務，致使營收減少
1418,東華,1459,89,258,1539.32,465.5,8656,17255,-49.83,因配合客戶生產線出貨及去年同期銷庫存。
1419,新紡,374628,395516,327793,-5.28,14.28,3260173,2656250,22.73,-
1423,利華,4924,5322,9973,-7.47,-50.62,93436,101248,-7.71,高單價羊毛紡織品需求未見明顯回升，致客戶下單提貨有些許延遲。
1434,福懋,2260181,2366216,2217809,-4.48,1.91,24143106,24242947,-0.41,-
1440,南紡,1551381,1335209,1749050,16.19,-11.3,14742315,16766550,-12.07,-
1441,大東,176433,121556,133170,45.14,32.48,1358758,1007536,34.85,-
1444,力麗,760976,710908,535533,7.04,42.09,6873900,7089730,-3.04,-
1445,大宇,69963,76198,105406,-8.18,-33.62,849599,1157021,-26.57,-
1446,宏和,472564,385413,10093,22.61,4582.09,3528606,108581,3149.74,營建銷售增加營收
1447,力鵬,4065890,1892762,2627957,114.81,54.71,29598969,25171281,17.59,因廠商一次性大量交貨，本公司於本月同步銷售予客戶，以及船期影響，致使同期營收增幅較大。
1449,佳和,275243,215637,239989,27.64,14.68,2500999,2274567,9.95,-
1451,年興,427411,446175,353359,-4.2,20.95,5377067,5239641,2.62,-
1452,宏益,145346,154158,117060,-5.71,24.16,1388018,951781,45.83,-
1454,台富,113502,138676,117788,-18.15,-3.63,1346203,1287000,4.6,-
1455,集盛,702297,715945,759281,-1.9,-7.5,8020403,6222633,28.89,-
1457,宜進,255185,300639,297085,-15.11,-14.1,2812796,2598080,8.26,-
1459,聯發,102616,102407,148718,0.2,-30.99,1068341,914254,16.85,-
1460,宏遠,789112,742908,750216,6.21,5.18,6593669,6305544,4.56,-
