公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,"以上營收不包含停業部門營收:110年11月 0 仟元暨109年11月984,856仟元；110年1-11月8,113,370仟元暨109年1-11月7,626,754仟元",1.96,9565047,-1.53,9904802,9752687,0.43,95805296,96223350
1102,亞泥,-,-4.95,9454594,13.4,7923604,8985672,14.77,69921108,80250990
1103,嘉泥,-,2.39,193141,-5.33,208929,197773,10.23,1856092,2046138
1104,環泥,-,5.96,558944,21.24,488513,592281,13.1,4870949,5509449
1108,幸福,-,-3.13,276724,-33.34,402129,268037,-16.71,4142126,3449777
1109,信大,-,18.33,660615,8.7,719102,781722,-1.81,6722314,6600446
1110,東泥,-,6.16,151364,7.31,149741,160698,15.75,1430359,1655721
1201,味全,-,-4.25,1709407,3.0,1588873,1636605,5.91,17184961,18201885
1203,味王,-,-11.95,441364,-19.26,481337,388602,-3.6,5507986,5309678
1210,大成,-,8.17,8186264,19.17,7431123,8855770,27.73,72313859,92373297
1213,大飲,-,25.25,27981,37.76,25440,35048,5.01,378364,397336
1215,卜蜂,-,8.09,2086329,21.79,1851586,2255138,11.28,20131767,22403152
1216,統一,-,0.55,39134900,9.74,35858206,39352262,5.58,413133859,436202984
1217,愛之味,-,0.36,305710,7.81,284591,306835,1.39,4336069,4396699
1218,泰山,-,7.61,829908,33.25,670202,893101,18.01,7776069,9177103
1219,福壽,-,16.04,1209578,29.21,1086305,1403710,20.2,11144695,13396529
1220,台榮,營收增加原因係因母公司110年11月份飼料、果糖營收增加及子公司禾榮公司因新冠肺炎疫情減緩致使11月份營收增加。,18.44,280906,51.94,218974,332714,15.34,2516468,2902585
1225,福懋油,-,22.28,1081685,46.95,900073,1322704,28.73,9206627,11852183
1227,佳格,-,35.63,2716771,3.59,3556835,3684840,0.49,30593718,30744920
1229,聯華,本公司本月合併營收成長主因系統整合專案陸續完工驗收及麵粉銷量與價格較去年同期成長。,16.34,974105,61.53,701599,1133311,17.99,8608377,10157181
1231,聯華食,-,-0.61,752598,6.51,702239,748007,7.07,7896107,8454777
1232,大統益,-,5.9,1987843,32.06,1594098,2105196,19.87,15595930,18695324
1233,天仁,-,14.64,140650,-13.51,186443,161242,-8.84,1752965,1597963
1234,黑松,-,2.51,765041,6.3,737796,784292,-0.22,8360600,8341555
1235,興泰,與去年差異超過50%為昇鋒去年同期認列出售股票收入668萬,-32.26,1776,-85.23,8146,1203,-42.93,69856,39863
1236,宏亞,-,23.48,119686,3.1,143333,147790,6.07,1406104,1491592
1702,南僑,-,1.42,1640589,8.63,1531731,1663975,13.17,15728216,17800672
1737,臺鹽,-,-36.01,394956,0.0,252684,252705,27.25,2788033,3547876
1301,台塑,-,-0.64,24683931,34.65,18212643,24523688,49.54,166103281,248398864
1303,南亞,今年疫情趨緩，全球消費動能回溫，本公司營收較去年同期大幅增加。,-3.75,37452644,37.0,26310187,36046868,53.91,245021504,377126405
1304,台聚,-,1.51,6733585,33.16,5133507,6835786,48.65,44384335,65979162
1305,華夏,109年第二季全球爆發第一波新冠肺炎疫情，致需求驟降，今年因部分PVC大廠受疫情、歲修或天災而減產，價格大幅上漲。,-18.64,2086017,11.27,1525029,1697043,56.67,12051858,18882826
1307,三芳,-,26.07,635756,9.6,731314,801545,-0.54,7747896,7705866
1308,亞聚,產品平均售價較去年同期提高所致,11.76,943444,82.75,576968,1054461,72.24,5021353,8649194
1309,台達化,-,2.56,1851988,17.04,1622907,1899476,40.13,13709597,19211800
1310,台苯,-,23.06,869299,9.71,975087,1069782,49.07,7241539,10795394
1312,國喬,-,-1.94,2005736,16.7,1685135,1966650,41.22,14723471,20793532
1313,聯成,產品價格較去年同期增加。,7.09,6861565,28.98,5696942,7348472,62.48,45742581,74325945
1314,中石化,去年同期及累計營收因受疫情影響而較正常低；今年原物料價格上漲及需求回穩，銷量及售價皆上漲，故今年單月及累計營收較去年增加,-6.4,3189912,114.65,1390823,2985458,105.34,15703933,32247012
1315,達新,-,32.81,178690,32.3,179377,237333,7.71,2025332,2181515
1321,大洋,-,-29.06,662746,-0.27,471422,470119,32.1,4510791,5958784
1323,永裕,-,-6.7,351157,4.44,313683,327627,10.89,3103698,3441807
1324,地球,-,13.84,84282,24.69,76948,95952,2.38,953038,975737
1325,恆大,因新冠肺炎防疫物資競爭激烈，致營收較去年同期減少。,0.45,47679,-83.7,293910,47895,-69.75,3761395,1137463
