公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,"以上營收不包含停業部門營收:110年9月 0 仟元暨109年9月710,192仟元；110年1-9月8,113,370仟元暨109年1-9月5,814,746仟元",7.06,8964476,6.22,9034955,9597804,0.61,76433746,76905616
1102,亞泥,-,8.87,7193266,7.92,7256519,7831470,13.28,54564173,61810724
1103,嘉泥,-,21.25,166022,23.12,163492,201306,11.72,1481525,1655224
1104,環泥,-,22.5,431224,17.15,450890,528251,12.13,3886551,4358224
1108,幸福,-,7.99,249977,-29.1,380768,269964,-13.49,3358346,2905016
1109,信大,-,-36.26,591358,-44.21,675602,376885,-1.06,5213429,5158109
1110,東泥,-,28.13,109276,-2.25,143254,140017,18.17,1137024,1343660
1201,味全,-,-5.0,1917771,2.86,1770907,1821712,6.55,13942044,14855873
1203,味王,-,-6.57,540451,-6.56,540372,504898,-2.43,4591387,4479711
1210,大成,-,19.96,7913624,32.05,7188625,9493296,31.45,57304544,75331263
1213,大飲,-,-18.72,42312,-16.79,41327,34387,2.37,326544,334307
1215,卜蜂,-,0.51,2037783,6.65,1920517,2048288,10.35,16366708,18061685
1216,統一,-,-1.95,41942340,1.9,40353475,41123727,4.95,340812432,357715822
1217,愛之味,-,-23.4,605106,-17.97,565045,463500,-0.03,3785349,3784154
1218,泰山,-,-7.54,960802,8.44,819145,888282,15.93,6429624,7454094
1219,福壽,-,2.12,1167521,9.75,1086298,1192316,20.36,8959094,10783242
1220,台榮,-,0.83,265446,-6.87,287415,267658,11.33,2055881,2288965
1225,福懋油,-,-0.62,1052440,25.12,835861,1045897,26.14,7489528,9447794
1227,佳格,-,17.09,2813843,-16.77,3958750,3294742,0.49,24224530,24343309
1229,聯華,-,4.94,793517,-9.08,915901,832723,13.38,7099771,8049765
1231,聯華食,-,-20.44,887835,1.71,694394,706336,7.22,6485644,6954172
1232,大統益,-,0.98,1634616,7.34,1537742,1650643,16.95,12485761,14602286
1233,天仁,-,19.13,137571,-9.21,180532,163902,-8.68,1419303,1296071
1234,黑松,-,-7.32,853329,-9.78,876580,790834,-1.11,6869017,6792222
1235,興泰,-,989.09,2284,-11.74,28185,24875,-33.36,55355,36884
1236,宏亞,-,61.68,107836,-9.68,193049,174351,6.46,1149808,1224116
1702,南僑,-,5.71,1662626,-0.38,1764497,1757618,14.37,12677593,14499782
1737,臺鹽,主係子公司臺鹽綠能隨工程完成程度所認列之工程收入增加，導致營收較去年同期增加。,22.02,364313,57.41,282412,444550,25.95,2302632,2900215
1301,台塑,去年受疫情影響，石化產品價格大跌，今年疫情趨緩且供給減少，推升行情，因此累計合併營收比去年增加51.85%。,-7.44,23158607,35.34,15836081,21433730,51.84,131178144,199191244
1303,南亞,今年全球疫情逐漸得到控制，各國逐步施打疫苗，使民生需求強力反彈，各行業景氣顯著回溫，帶動本公司各項產品營收大幅增加。,-4.57,37422239,49.86,23828101,35710126,56.53,193972294,303626893
1304,台聚,因市場環境影響，銷售量價皆優於去年同期，故營收增加。,5.3,6074485,48.5,4307703,6396966,51.34,34628762,52409791
1305,華夏,109年第二季全球爆發第一波新冠肺炎疫情，致需求驟降，今年因部分PVC大廠受疫情、歲修或天災而減產，價格大幅上漲。,12.06,1751859,72.97,1134914,1963157,65.19,9140436,15099766
1307,三芳,-,7.33,513232,-34.45,840399,550855,1.51,6175092,6268565
1308,亞聚,產品平均售價較去年同期提高所致,8.2,788485,80.3,473181,853180,66.88,3985435,6651289
1309,台達化,-,-1.79,1846662,32.24,1371229,1813435,44.93,10667065,15460336
1310,台苯,主要產品之數量及價格均較去年成長。,-8.92,1130863,60.4,642101,1029947,59.36,5557200,8856313
1312,國喬,-,-0.28,1877342,25.81,1487844,1871954,46.63,11471184,16821146
1313,聯成,產品價格較去年同期增加。,-3.1,7666218,46.0,5087822,7428330,71.31,35054376,60054413
1314,中石化,去年同期及累計營收因受疫情影響而較正常低；今年原物料價格上漲及需求回穩，銷量及售價皆上漲，故今年單月及累計營收較去年增加,-13.85,3348017,135.48,1224711,2884029,100.26,13018335,26071642
1315,達新,-,-11.74,209850,-4.62,194188,185205,8.2,1631571,1765488
1321,大洋,-,9.59,545282,17.41,508942,597581,34.59,3585503,4825955
1323,永裕,-,2.98,334429,13.61,303129,344408,10.67,2496630,2763023
