公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,-0.26,7325221,33.9,5456068,7306069,12.77,12973964,14631290
1102,亞泥,112年2月營收較去年同期增加主係去年農曆春節假期主要在2月份,29.63,4814494,52.2,4100676,6241236,-4.04,11521402,11055730
1103,嘉泥,旅宿營運收入增加。,10.37,191217,57.42,134062,211050,37.7,292114,402267
1104,環泥,1月份適逢過年,17.27,504378,69.81,348338,591525,16.5,940660,1095903
1108,幸福,本月較去年同期營收增加逾50%，主係去年2月適逢年假，營業日數較短所致。,22.66,294901,71.74,210635,361748,22.66,535299,656649
1109,信大,國內水泥售價及銷售量有逐漸提高,37.89,298010,126.23,181644,410951,-5.28,748541,708961
1110,東泥,主要本期東南水泥(股)公司銷貨收入增加，係因去年同期遇春節年假，銷貨天數較少及售價調高所致,26.28,137873,78.77,97391,174115,18.06,264249,311988
1201,味全,-,-6.0,1585126,15.32,1291903,1489920,3.86,2960690,3075046
1203,味王,-,0.0,515619,13.65,453678,515621,1.32,1017778,1031240
1210,大成,-,-10.34,9191048,9.63,7516358,8240329,-0.23,17473275,17431377
1213,大飲,-,-2.35,31485,25.37,24520,30743,-11.54,70353,62228
1215,卜蜂,-,-4.47,2369583,10.46,2048952,2263472,-1.87,4721775,4633055
1216,統一,-,-11.43,45915517,19.2,34113196,40664831,5.37,82162681,86580348
1217,愛之味,-,-31.09,447948,-1.35,312887,308663,0.12,755700,756611
1218,泰山,-,-14.25,973667,12.13,744482,834856,4.95,1723074,1808523
1219,福壽,-,-3.06,1334658,14.42,1130681,1293812,2.52,2563848,2628470
1220,台榮,-,-3.73,185500,-14.05,207781,178573,-31.4,530770,364073
1225,福懋油,-,16.68,1136459,41.88,934637,1326121,10.61,2226360,2462580
1227,佳格,-,-43.15,2485829,7.76,1311370,1413138,-12.99,4481180,3898967
1229,聯華,-,-0.17,813776,26.21,643594,812320,7.16,1517344,1626096
1231,聯華食,-,-28.35,1032901,7.26,689899,740027,3.43,1714007,1772928
1232,大統益,-,0.86,2049752,40.93,1467011,2067495,16.62,3530327,4117246
1233,天仁,-,-26.6,209169,16.48,131798,153523,13.36,319921,362692
1234,黑松,主係去年基期低，疫情解封後，餐飲活動增加，加上節慶贈禮買氣，酒類代理事業，除既有產品成長，另主題新酒上市挹注業績。,-23.77,1044159,70.92,465642,795909,30.88,1405871,1840068
